Q228039,lock,Common_Node
Q2160801,skirt,Common_Node
Q1333024,personal protective equipment,Common_Node
Q27096220,natural geographic entity,Common_Node
Q32050,precision-guided munition,Common_Node
Q1051772,chordophone,Common_Node
Q864377,multiset,Common_Node
Q230823,miniskirt,Class_Node
Q1949963,statistic,Common_Node
Q22811462,type of manufactured good,Common_Node
Q35145263,natural geographic object,Common_Node
Q28803,sandwich,Common_Node
Q185369,photocopier,Class_Node
Q57814795,domesticated mammal,Common_Node
Q43229,organization,Common_Node
Q2221906,geographic location,Common_Node
Q39367,dog breed,Common_Node
Q15621286,intellectual work,Common_Node
Q16869178,trousse,Common_Node
Q57812611,mammal living in captivity,Common_Node
Q7625012,structural building component,Common_Node
Q19868531,formal ontology concept,Common_Node
Q1969349,bolete,Class_Node
Q931447,electrical load,Common_Node
Q3578987,fire_screen,Class_Node
Q3245975,finished good,Common_Node
Q33972,slot,Class_Node
Q1999851,Normative science,Common_Node
Q3958441,economic sector,Common_Node
Q11661,information technology,Common_Node
Q1420806,reel,Class_Node
Q104637332,planned process,Common_Node
Q451967,intentional human action,Common_Node
Q41176,building,Common_Node
Q50414774,armor,Common_Node
Q7239,organism,Common_Node
Q5113,bird,Common_Node
Q13184,berry,Common_Node
Q3314483,fruit,Common_Node
Q271669,landform,Common_Node
Q31808206,covering,Common_Node
Q16889133,class,Common_Node
Q184872,recreation,Common_Node
Q28845870,biological component,Common_Node
Q35758,matter,Common_Node
Q618123,geographical feature,Common_Node
Q38904,miniature_poodle,Class_Node
Q1429336,hesperidium,Common_Node
Q207822,packaging and labeling,Common_Node
Q55721745,sets of bells,Common_Node
Q130901,binary relation,Common_Node
Q2457980,clothing in ancient Rome,Common_Node
Q605384,crate,Class_Node
Q39253,Podenco,Common_Node
Q58415929,spatio-temporal entity,Common_Node
Q616601,trifle,Class_Node
Q182731,cuirass,Class_Node
Q22999537,vehicle family,Common_Node
Q230629,connection,Common_Node
Q53617489,independent continuant,Common_Node
Q17988854,move,Common_Node
Q80228,bottle,Common_Node
Q80083,humanities,Common_Node
Q517596,mechanism,Common_Node
Q167633,clog,Class_Node
Q20011319,plant structure,Common_Node
Q193395,recording medium,Common_Node
Q796635,linens,Common_Node
Q2235308,ship type,Common_Node
Q5936788,human-powered land vehicle,Common_Node
Q29149,French_bulldog,Class_Node
Q177597,naval ship,Common_Node
Q1183543,device,Common_Node
Q151885,concept,Common_Node
Q58778,system,Common_Node
Q49416455,retail location,Common_Node
Q7978115,weapons platform,Common_Node
Q2574750,citrus fruit,Common_Node
Q213441,shop,Common_Node
Q81799,fast food,Common_Node
Q133163,percussion instrument,Common_Node
Q692104,parallel_bars,Class_Node
Q161928,footwear,Common_Node
Q69016679,hospital equipment and supplies,Common_Node
Q2091629,magnitude,Common_Node
Q28797,applied science,Common_Node
Q28732711,physical substance,Common_Node
Q3114762,warship,Common_Node
Q1629107,file,Class_Node
Q53617407,material entity,Common_Node
Q11862829,academic discipline,Common_Node
Q286583,manifestation,Common_Node
Q19462049,directly struck idiophone,Common_Node
Q1370169,dishrag,Class_Node
Q66394244,physical anatomical entity,Common_Node
Q1065579,costume accessory,Common_Node
Q23808,interface,Common_Node
Q12766313,geomorphological unit,Common_Node
Q34698,adjective,Common_Node
Q11028,information,Common_Node
Q25306,Carnivora,Common_Node
Q9479,iPod,Class_Node
Q1184840,military vehicle,Common_Node
Q11016,technology,Common_Node
Q18668582,board,Common_Node
Q18336849,item with given name property,Common_Node
Q729897,rock_beauty,Class_Node
Q322481,size,Common_Node
Q34379,musical instrument,Common_Node
Q1454986,physical system,Common_Node
Q18819626,connector,Common_Node
Q26988406,Q26988406,Common_Node
Q2374786,combination_lock,Class_Node
Q1681365,consumables,Common_Node
Q65037298,optical component,Common_Node
Q24229398,agent,Common_Node
Q61788060,human activity,Common_Node
Q49005,curtain,Common_Node
Q22676,shoe,Common_Node
Q327065,display device,Common_Node
Q16686022,natural physical object,Common_Node
Q15197056,fleshy fruit,Common_Node
Q628858,workplace,Common_Node
Q27043948,material anatomical entity,Common_Node
Q2018526,arts,Common_Node
Q581105,consumer electronics,Common_Node
Q203066,relation,Common_Node
Q55610479,ecological unit,Common_Node
