wikiID:ID,content,:LABEL
Q107679,"('cliff', 'significant vertical, or near vertical, rock exposure')",Class_Node
Q1799072,"('method', 'planned path to reaching an objective')",Common_Node
Q11446,"('ship', 'large buoyant watercraft')",Common_Node
Q39546,"('tool', 'physical item that can be used to achieve a goal')",Common_Node
Q179904,"('hourglass', 'device to measure the passage of time')",Class_Node
Q1485500,"('tangible good', 'physical asset which is the subject of trade or could come as an object of trade turnover into consideration')",Common_Node
Q6005984,"('baryonic matter', 'matter consisting of baryons, electrons, or possibly certain other leptons, but not their antiparticles')",Common_Node
Q386724,"('work', 'physical or virtual object made by humans')",Common_Node
Q42889517,"('oboe family instrument', 'instrument in the oboe family')",Common_Node
Q15401930,"('product', 'result of some kind of work or effort')",Common_Node
Q837515,"('solar collector', 'device that collects heat')",Common_Node
Q42896320,"('reed instrument', 'instrument that produces sound by means of a vibrating reed (including free reeds)')",Common_Node
Q733541,"('consequence', 'imperative or possible inference')",Common_Node
Q28845870,"('biological component', 'component of the biological system')",Common_Node
Q1150070,"('change', 'process, event or action that deviates from the present state')",Common_Node
Q37755,"('Ibizan_hound', 'dog breed')",Class_Node
Q184358,"('reef', 'feature lying beneath the surface of the water')",Common_Node
Q29043258,"('Other fruit and nuts', 'Other fruit and nuts')",Common_Node
Q57814795,"('domesticated mammal', 'domesticated mammal')",Common_Node
Q159810,"('economy', 'area of the production, distribution and trade, as well as consumption of goods and services by different agents')",Common_Node
Q57812611,"('mammal living in captivity', 'individual mammal')",Common_Node
Q190403,"('catamaran', 'watercraft with two parallel hulls of equal size')",Class_Node
Q53617407,"('material entity', 'material entity')",Common_Node
Q2425052,"('electrical apparatus', 'apparatus where the main functionality is provided by electricity')",Common_Node
Q2995644,"('result', 'final consequence of a sequence of actions or events')",Common_Node
Q11292,"('coral_reef', 'ridge of rock in the sea formed by the growth and deposit of coral')",Class_Node
Q185369,"('photocopier', 'device for reproducing documents')",Class_Node
Q14204246,"('Wikimedia project page', 'page in the non-article namespace 4 on a Wikimedia project (having the same name as the site, for example ""Wiktionary:"" on Wiktionary) serving internal purposes')",Common_Node
Q33972,"('slot', 'casino gambling machine')",Class_Node
Q3578987,"('fire_screen', 'fire screen')",Class_Node
Q596566,"('pencil_box', 'container used to store pencils, pens and writing equipment')",Class_Node
Q67518978,"('occurrent', 'an entity that unfolds itself in time or it is the instantaneous boundary of such an entity (for example a beginning or an ending), or it is a temporal or spatiotemporal region which such an entity occupies')",Common_Node
Q9158768,"('storage', 'place or device for storing material or immaterial objects')",Common_Node
Q14384,"('triceratops', 'genus of reptiles (fossil)')",Class_Node
Q20463,"('garbage_truck', 'truck specially designed to collect small quantities of waste and haul the collected waste to a solid waste treatment facility')",Class_Node
Q8023902,"('wind-powered vehicle', 'vehicle pushed by the winds')",Common_Node
Q21369154,"('hairstyle accessory', 'costume accessory worn on or in the hair')",Common_Node
Q21162272,"('means', 'means by which an item performs a function')",Common_Node
Q25519785,"('Artillery weapons', 'Artillery weapons')",Common_Node
Q1642862,"('multihull', 'ship type')",Common_Node
Q1184840,"('military vehicle', 'land combat and transportation vehicles which are designed for or are significantly used by military forces')",Common_Node
Q1137441,"('yawl', 'two-masted sailing craft similar to a sloop or cutter')",Class_Node
Q134015,"('meerkat', 'species of mongoose')",Class_Node
Q32050,"('precision-guided munition', 'guided munition intended to precisely hit a specific target')",Common_Node
Q7184903,"('abstract object', 'object with no physical referents')",Common_Node
Q1797813,"('productive animal', 'animal that is used by the people economically')",Common_Node
Q55724833,"('necked lutes', 'class of musical instruments')",Common_Node
Q960648,"('point of interest', 'specific location that someone may find useful or interesting')",Common_Node
Q631931,"('decorative arts', 'arts or crafts concerned with the design and manufacture of functional, beautiful objects')",Common_Node
Q49005,"('curtain', 'cloth used to block out light')",Common_Node
Q18668582,"('board', 'art medium')",Common_Node
Q5268834,"('information and communications technology', 'use of integration of telecommunications and computers to access, store, transmit, and manipulate information')",Common_Node
Q55182671,"('undersea landform', ""geomorphic features of the earth's surface that are located below the sea"")",Common_Node
Q5639584,"('hairstyling tool', 'hairdressing tool')",Common_Node
Q8377,"('oboe', 'musical instrument of the woodwind family')",Class_Node
Q15621286,"('intellectual work', 'work created through human thought and perception, including creative work')",Common_Node
Q768186,"('sports equipment', 'object used for sport or exercise')",Common_Node
Q2267705,"('field of study', 'field of study leading to a specific degree')",Common_Node
Q945148,"('theater_curtain', 'large piece of cloth designed to mask backstage areas of a theater from spectators')",Class_Node
Q43460564,"('chemical entity', 'type of material entity')",Common_Node
Q1144661,"('amusement ride', 'mechanical device or structure that moves people to create enjoyment')",Common_Node
Q140,"('lion', 'species of big cat')",Class_Node
Q699405,"('residence', 'self-contained unit of accommodation (house, apartment, mobile home, houseboat or other structure) used as a home')",Common_Node
Q102205,"('fluid', 'substance which continuously deforms under an applied shear stress, including liquids and gases')",Common_Node
Q30038792,"('percussion idiophones', 'class of musical instruments')",Common_Node
Q182731,"('cuirass', 'type of armor')",Class_Node
Q19588495,"('composite chordophones', 'class of musical instruments')",Common_Node
Q10675206,"('ingredient', 'substance which is part of some product')",Common_Node
Q729897,"('rock_beauty', 'species of fish')",Class_Node
Q38904,"('miniature_poodle', 'group of dog breeds originating from continental Western Europe')",Class_Node
Q185167,"('three-toed_sloth', 'genus of mammals')",Class_Node
Q503992,"('name', 'part of speech which shares features with nouns and adjectives')",Common_Node
Q2018526,"('arts', 'human expression and creativity, usually influenced by culture')",Common_Node
Q57815212,"('domesticated bird', 'domesticated bird')",Common_Node
Q735,"('art', 'expressive work intended to be appreciated for its beauty or emotional power; or the process of creating such a work')",Common_Node
Q614379,"('scoreboard', 'display device used in sports')",Class_Node
Q628858,"('workplace', 'physical location where someone works')",Common_Node
Q838312,"('pin', 'fastening device')",Common_Node
Q1969349,"('bolete', 'type of fungal fruiting body')",Class_Node
Q2127468,"('transport unit', 'group of goods prepared for transport as a single unit')",Common_Node
Q35825432,"('converter', 'entity that converts, modifies, or transforms, producing an change of state, observable on the entity itself or on other objects')",Common_Node
Q80228,"('bottle', 'cylindrical container')",Common_Node
Q177597,"('naval vessel', 'watercraft designed to conduct or support combat operations at sea')",Common_Node
Q55983715,"('organisms known by a particular common name', 'organisms known by a particular common name')",Common_Node
Q36161,"('set', 'well-defined mathematical collection of distinct objects')",Common_Node
Q178648,"('peripheral', 'hardware device which attaches to a computer and which provided input, output, storage or communication facilities')",Common_Node
Q1808578,"('lutes', 'class of musical instruments')",Common_Node
Q488383,"('object', 'anything that we can think or talk about; a thing that is observed by a subject')",Common_Node
Q659216,"('aerophone', 'class of musical instruments')",Common_Node
Q1390,"('insect', 'class of arthropods')",Common_Node
Q19603939,"('building component', 'one of the elements that make up a building')",Common_Node
Q10872571,"('portable media player', 'portable device capable of storing and playing digital media such as audio, images, and video files')",Common_Node
Q19829125,"('absence', '(local) nonexistence of something (specific)')",Common_Node
Q7377,"('mammal', 'class of tetrapods')",Common_Node
Q746549,"('dish', 'specific food preparation with cooking finished, and ready to eat, or be served')",Common_Node
Q23668,"('beer_bottle', 'bottle to contain beer')",Class_Node
Q1475429,"('holster', ""device for the secure placement of a handgun on one's person"")",Class_Node
Q361132,"('roofing', 'outer material of a roof')",Common_Node
Q2574750,"('citrus fruit', 'fruit from any variety of citrus tree')",Common_Node
Q4393498,"('representation', 'role, function or property of an abstract or real object, relation or changes')",Common_Node
Q151885,"('concept', 'semantic unit understood in different ways, e.g. as mental representation, ability or abstract object')",Common_Node
Q16722960,"('phenomenon', 'philosophical concept')",Common_Node
Q3114762,"('warship', 'naval ship that is built and primarily intended for naval warfare')",Common_Node
Q2091629,"('magnitude', 'mathematical concept related to comparison and ordering')",Common_Node
Q63247926,"('human-powered transport', 'any transport performed by human muscle power')",Common_Node
Q43806,"('Invertebrata', 'group of animals')",Common_Node
Q4198689,"('metrological mechanism', 'metrological mechanism')",Common_Node
Q460967,"('robin', 'species of bird')",Class_Node
Q5185,"('nematode', 'phylum of animals, roundworm')",Class_Node
Q200764,"('bookshop', 'commercial trader of books')",Class_Node
Q98119401,"('group or class of physical objects', 'group or class of physical objects')",Common_Node
Q193395,"('recording medium', 'physical storage medium for recording information')",Common_Node
Q38706,"('Newfoundland', 'dog breed')",Class_Node
Q1105339,"('cocktail_shaker', 'device used to mix alcoholic beverages')",Class_Node
Q58778,"('system', 'set of interacting or interdependent components')",Common_Node
Q42889,"('vehicle', 'mobile machine that transports people, animals or cargo')",Common_Node
Q516776,"('measurable function', 'function between measurable spaces')",Common_Node
Q267228,"('sound generator', 'a vibrating object which produces a sound; any kind of device made or used for the purpose of generating sound')",Common_Node
Q14745,"('furniture', 'movable objects intended to support various human activities')",Common_Node
Q1806324,"('working dog', 'utility dog')",Common_Node
Q79529,"('chemical substance', 'matter of constant composition best characterized by the entities (molecules, formula units, atoms) it is composed of and characterized by physical properties like density')",Common_Node
Q30178,"('jellyfish', 'soft-bodied, aquatic invertebrates')",Class_Node
Q103940464,"('continuant', 'entity that persists, endures, or continues to exist through time while maintaining its identity')",Common_Node
Q811909,"('technological component', 'fundamental component of a machine or a tool, part of the machinery and contributing to the function of the machine, not of the esthetics')",Common_Node
Q1156686,"('roof shape', 'roof shape')",Common_Node
Q27043948,"('material anatomical entity', 'anatomical entity with mass')",Common_Node
Q58678,"('school_bus', 'type of bus')",Class_Node
Q1174791,"('escarpment', 'type of slope landform')",Common_Node
Q6657015,"('medical equipment', 'equipment designed to aid in the diagnosis, monitoring or treatment of medical conditions')",Common_Node
Q50414774,"('armor', 'clothing or other covering designed to be worn or carried to protect the body in combat')",Common_Node
Q28555911,"('ordinary matter', 'matter composed of protons, neutrons, and/or electrons')",Common_Node
Q78987,"('electric_guitar', 'electrified guitar; fretted stringed instrument with a neck and body that uses a pickup to convert the vibration of its strings into electrical signals')",Class_Node
Q181055,"('hotdog', 'cooked or grilled meat, often eaten with a bread bun')",Class_Node
Q1301433,"('land vehicle', 'vehicle mainly meant to move on land')",Common_Node
Q18336849,"('item with given name property', '(used to define the domain of the ""given name"" property)')",Common_Node
Q15618781,"('wheeled vehicle', 'any vehicle with wheel')",Common_Node
Q10289,"('barrel', 'hollow cylindrical container')",Class_Node
Q795052,"('individual', 'person or a specific object')",Common_Node
Q336,"('science', 'systematic enterprise that builds and organizes knowledge')",Common_Node
Q15710813,"('physical structure', 'body or assemblage of bodies in space that form a system capable of supporting loads')",Common_Node
Q2904042,"('bioconstruction', 'structure built by living organisms, by opposition to sedimental process')",Common_Node
Q3245975,"('finished good', 'item that has completed the manufacturing process but have not yet been sold')",Common_Node
Q811701,"('model series', 'group of related products, sold simultaneously or consecutively')",Common_Node
Q101401,"('bell', 'sound-making device')",Common_Node
Q3030569,"('protective device', 'equipment used to provide or improve safety')",Common_Node
Q2998482,"('clothing in the ancient world', 'what people wore in antiquity as inferred from archaeological and historical evidence')",Common_Node
Q2453629,"('drinking vessel', 'class of container from which you drink')",Common_Node
Q15303351,"('art material', 'substance, raw ingredient, or tool that is utilized by an artist to create a work of art')",Common_Node
Q56147060,"('fire-making tool', 'equipment and tools for laying and starting fires')",Common_Node
Q181247,"('woodwind instrument', 'family of musical wind instruments')",Common_Node
Q104637332,"('planned process', 'process that successfully actualizes a plan')",Common_Node
Q184872,"('recreation', 'activity of leisure')",Common_Node
Q11416,"('gambling', 'wagering of money on a game of chance or event with an uncertain outcome')",Common_Node
Q127666,"('frying_pan', 'Flat bottomed pan for cooking food on a stove')",Class_Node
Q30038759,"('handle lutes', 'class of musical instruments')",Common_Node
Q15142889,"('weapon family', 'group of related weapons which share basic design elements')",Common_Node
Q4656150,"('Wikimedia project policies and guidelines', 'Wikimedia project page')",Common_Node
Q3391431,"('bars apparatus', 'parallel and uneven bars in gymnastics')",Common_Node
Q79782,"('motion', 'change in position of an object over time; a body is said to be in motion if it changes its position with respect to its immediate surroundings')",Common_Node
Q1246258,"('artillery gun', 'artillery weapon which fires a projectile using a propellant with greater power than personal firearms')",Common_Node
Q42622779,"('timepiece', 'device for measuring or recording the passage of time')",Common_Node
Q38672,"('dog type', 'broad category of dogs based on form or function')",Common_Node
Q1211272,"('signage', 'design or use of signs and symbols on physical objects to communicate a message to a particular audience in a particular context')",Common_Node
Q5113,"('bird', 'class of tetrapods')",Common_Node
Q570116,"('tourist attraction', 'place of interest where tourists visit')",Common_Node
Q2827268,"('gymnastic apparatus', 'device used in the sport of gymnastics')",Common_Node
Q25403900,"('food ingredient', 'ingredient used in food product')",Common_Node
Q13191,"('orange', 'citrus fruit of the orange tree')",Class_Node
Q173453,"('wind instrument', 'class of musical instruments')",Common_Node
Q956956,"('prayer_rug', 'prayer rug')",Class_Node
Q644309,"('rhinoceros_beetle', 'species of insect')",Class_Node
Q1836700,"('manufactured good', 'object produced by the industry')",Common_Node
Q35145743,"('human-made landform', 'alterations to land created by people')",Common_Node
Q130901,"('binary relation', 'any set of ordered pairs; (on a set A) collection of ordered pairs of elements of A, i.e. subset of A × A; (between two sets A and B) collection of ordered pairs with first element in A and second element in B')",Common_Node
Q216530,"('ashcan', 'container that holds waste')",Class_Node
Q16529344,"('goose', 'Common name for a group of birds')",Class_Node
Q104602244,"('rug', 'textile floor covering')",Common_Node
Q1515493,"('road vehicle', 'vehicle intended to be used out at the streets and highways')",Common_Node
Q208364,"('wok', 'round-bottomed cooking vessel, originating in China')",Class_Node
Q1914636,"('activity', 'event; actions that result in changes of state')",Common_Node
Q1047213,"('measurement tool', 'device used to generate a measurement')",Common_Node
Q268592,"('industry', 'group of companies that produce a closely related set of raw materials, goods, or services')",Common_Node
Q2266685,"('upright', 'for mining an geology in most cases synonym with vertical')",Class_Node
Q1567371,"('digital media player', 'device used for playing media such as online video.')",Common_Node
Q2221906,"('geographic location', ""point or an area on the Earth's surface or elsewhere"")",Common_Node
Q5469988,"('formalization', 'automated representation of a system')",Common_Node
Q522648,"('clothing in ancient Greece', 'Clothing style in ancient Greece.')",Common_Node
Q41291,"('rocket', 'pyrokinetic engine used for propulsion; for the incendiary weapon, see Q2037215')",Common_Node
Q191851,"('vase', 'open container, often used to hold cut flowers')",Class_Node
Q38686,"('golden_retriever', 'dog breed')",Class_Node
Q1639378,"('social system', 'kaung.myat.naing@internet.ru')",Common_Node
Q23958852,"('variable-order class', 'abstract entity representing classes whose instances may or may not be classes themselves')",Common_Node
Q1194058,"('disposable product', 'product designed for a single use')",Common_Node
Q12493,"('dome', 'architectural element that resembles the hollow upper half of a sphere')",Class_Node
Q170483,"('sailing ship', 'large wind-powered water vessel')",Common_Node
Q1507442,"('human-powered transport', 'human-powered transport')",Common_Node
Q622852,"('domesticated animal', 'animal that has been tamed and that lives with humans')",Common_Node
Q82794,"('geographic region', '2D or 3D defined space, mainly in terrestrial and astrophysics sciences')",Common_Node
Q17537576,"('creative work', 'distinct artistic creation such as artwork, literature, music, and paintings')",Common_Node
Q837718,"('energy storage', 'capture of energy produced at one time for use at a later time')",Common_Node
Q729,"('animal', 'kingdom of multicellular eukaryotic organisms')",Common_Node
Q27096235,"('artificial geographic entity', 'elements of the ground or the underground that have been greatly modified by human being (roads, houses, ...)')",Common_Node
Q104385260,"('chemical propellant gun', 'projectile weapon which launches a projectile by means of burning propellant in a confined space')",Common_Node
Q12766313,"('geomorphological unit', 'topographic or bathymetric feature in a particular geographic location (eg. hill, river valley, mountain range, etc.)')",Common_Node
Q1229765,"('watercraft', 'vehicles that are intended for locomotion on or in the water')",Common_Node
Q230262,"('plucked string instrument', 'belong to the group of string instruments')",Common_Node
Q56887437,"('bus type', 'group of buses of a similar purpose and function')",Common_Node
Q2133296,"('space (architecture)', 'area within an architectural structure with available space')",Common_Node
Q61788060,"('human activity', 'activity initiated by a human, intentionally or unintentionally')",Common_Node
Q16887380,"('group', 'well-defined collection of discrete entities who choose or are assigned to be part of a collective whole')",Common_Node
Q2457980,"('clothing in ancient Rome', 'Clothing style in ancient Rome.')",Common_Node
Q61961344,"('group of physical objects', 'group of physical objects')",Common_Node
Q5099323,"('chime', 'musical instrument')",Class_Node
Q25324,"('Canidae', 'family of mammals')",Common_Node
Q402885,"('black-footed_ferret', 'species of mustelid')",Class_Node
Q21146257,"('type', 'kind or variety of something')",Common_Node
Q19279121,"('free-emissions vehicle', 'free-emissions vehicle')",Common_Node
Q7978115,"('weapons platform', 'system or structure that carries weapons')",Common_Node
Q106106,"('wardrobe', 'storage cabinet')",Common_Node
Q1969455,"('street_sign', 'type of traffic sign used to identify named roads')",Class_Node
Q2002016,"('fastener', 'hardware device that mechanically joins or affixes two or more objects together')",Common_Node
Q9479,"('iPod', 'line of portable media players')",Class_Node
Q1629107,"('file', 'piece of office furniture')",Class_Node
Q1554231,"('resource', 'source or supply from which benefit is produced')",Common_Node
Q1370169,"('dishrag', 'cloth used in the kitchen to clean dishes and surfaces')",Class_Node
Q1194773,"('projectile weapon', 'weapon designed to discharge projectiles or other material')",Common_Node
Q22676,"('shoe', 'footwear')",Common_Node
Q22811462,"('type of manufactured good', 'first-order metaclass')",Common_Node
Q55738828,"('single reedpipes with double (or quadruple) reeds', 'class of musical instruments')",Common_Node
Q1566584,"('hair_slide', 'long pin used to secure the hair')",Class_Node
Q337060,"('perceptible object', 'entity that is physically perceptible')",Common_Node
Q1429336,"('hesperidium', 'berry with a leathery rind and parchment-like partitions between sections')",Common_Node
Q7427595,"('sausage sandwich', 'Food')",Common_Node
Q153988,"('bowl', 'round, open-top container frequently used as tableware')",Common_Node
Q76419950,"('information board', 'Information display')",Common_Node
Q2800000,"('attraction', 'type of tourist attraction')",Common_Node
Q17205,"('aircraft_carrier', 'warship primarily designed to carry, support, launch, and recover naval aircraft at sea')",Class_Node
